
info [Tue Apr 18 2017 19:36:02 GMT+0900 (KST)]  :method + :date

info [Tue Apr 18 2017 19:42:43 GMT+0900 (KST)]  create

info [Tue Apr 18 2017 19:44:32 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 19:44:32 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 19:44:52 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 19:44:52 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 19:44:54 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 19:44:54 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 19:45:24 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 19:45:24 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 19:46:33 GMT+0900 (KST)]  off

info [Tue Apr 18 2017 19:48:28 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 19:48:28 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 19:48:39 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 19:48:39 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 19:48:41 GMT+0900 (KST)]  off

info [Tue Apr 18 2017 19:48:57 GMT+0900 (KST)]  off
info [Tue Apr 18 2017 19:48:57 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 없습니다.
info [Tue Apr 18 2017 19:48:57 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 19:48:57 GMT+0900 (KST)]  알람 생성 완료!!
info [Tue Apr 18 2017 19:49:00 GMT+0900 (KST)]  create
info [Tue Apr 18 2017 19:49:00 GMT+0900 (KST)]  "my_alarm" 으로 등록된 알람이 이미 있습니다. 다른 이름으로 등록해주세요.
info [Tue Apr 18 2017 19:49:01 GMT+0900 (KST)]  create
